experiment,category,num_queries,precision,recall,f1_score
Baseline,returns,11,0.818,0.909,0.818
Baseline,contact,6,0.750,1.000,0.828
Baseline,account,2,0.834,1.000,0.900
Baseline,payment,4,0.500,0.875,0.542
Baseline,shipping,2,0.666,1.000,0.750
Baseline,product,3,0.556,1.000,0.711
Baseline,technical,1,1.000,1.000,1.000
Baseline,out_of_scope,1,0.000,1.000,0.000
Exp1,returns,11,0.818,0.909,0.818
Exp1,contact,6,0.750,1.000,0.828
Exp1,account,2,0.834,1.000,0.900
Exp1,payment,4,0.500,0.875,0.542
Exp1,shipping,2,0.666,1.000,0.750
Exp1,product,3,0.556,1.000,0.711
Exp1,technical,1,1.000,1.000,1.000
Exp1,out_of_scope,1,0.000,1.000,0.000
Exp2,returns,11,0.621,0.955,0.712
Exp2,contact,6,0.555,1.000,0.689
Exp2,account,2,0.500,1.000,0.650
Exp2,payment,4,0.375,0.875,0.500
Exp2,shipping,2,0.666,1.000,0.750
Exp2,product,3,0.556,1.000,0.711
Exp2,technical,1,0.500,1.000,0.667
Exp2,out_of_scope,1,0.000,1.000,0.000
Exp3,returns,11,0.697,0.909,0.758
Exp3,contact,6,0.583,1.000,0.717
Exp3,account,2,0.584,1.000,0.734
Exp3,payment,4,0.500,1.000,0.625
Exp3,shipping,2,0.666,0.750,0.584
Exp3,product,3,0.500,1.000,0.656
Exp3,technical,1,0.500,1.000,0.667
Exp3,out_of_scope,1,0.000,1.000,0.000
Exp4,returns,11,0.758,0.909,0.803
Exp4,contact,6,0.778,1.000,0.856
Exp4,account,2,0.584,1.000,0.734
Exp4,payment,4,0.417,1.000,0.575
Exp4,shipping,2,0.750,1.000,0.834
Exp4,product,3,0.444,0.833,0.556
Exp4,technical,1,0.500,1.000,0.667
Exp4,out_of_scope,1,0.000,1.000,0.000
Exp5,returns,11,0.939,0.909,0.894
Exp5,contact,6,0.945,1.000,0.967
Exp5,account,2,0.584,1.000,0.734
Exp5,payment,4,0.541,1.000,0.667
Exp5,shipping,2,0.750,1.000,0.834
Exp5,product,3,0.500,0.833,0.611
Exp5,technical,1,0.500,1.000,0.667
Exp5,out_of_scope,1,0.000,1.000,0.000
Exp6,returns,11,0.939,0.909,0.894
Exp6,contact,6,0.917,0.917,0.917
Exp6,account,2,1.000,1.000,1.000
Exp6,payment,4,0.541,1.000,0.667
Exp6,shipping,2,0.750,0.750,0.667
Exp6,product,3,0.500,0.833,0.611
Exp6,technical,1,0.500,1.000,0.667
Exp6,out_of_scope,1,0.000,1.000,0.000
Exp7,returns,11,0.939,0.909,0.894
Exp7,contact,6,0.917,0.917,0.917
Exp7,account,2,1.000,1.000,1.000
Exp7,payment,4,0.541,1.000,0.667
Exp7,shipping,2,0.750,0.750,0.667
Exp7,product,3,0.500,0.833,0.611
Exp7,technical,1,0.500,1.000,0.667
Exp7,out_of_scope,1,0.000,1.000,0.000
