experiment,difficulty,num_queries,precision,recall,f1_score,mrr
Baseline,easy,19,0.684,1.000,0.763,0.798
Baseline,medium,9,0.722,0.889,0.733,1.000
Baseline,hard,2,0.834,0.750,0.734,1.000
Exp1,easy,19,0.684,1.000,0.763,0.798
Exp1,medium,9,0.722,0.889,0.733,1.000
Exp1,hard,2,0.834,0.750,0.734,1.000
Exp2,easy,19,0.474,1.000,0.614,0.798
Exp2,medium,9,0.611,0.889,0.678,1.000
Exp2,hard,2,0.834,1.000,0.900,1.000
Exp3,easy,19,0.553,1.000,0.667,0.860
Exp3,medium,9,0.667,0.889,0.715,0.889
Exp3,hard,2,0.584,0.750,0.650,0.750
Exp4,easy,19,0.649,1.000,0.737,0.921
Exp4,medium,9,0.630,0.889,0.715,1.000
Exp4,hard,2,0.584,0.750,0.650,1.000
Exp5,easy,19,0.710,1.000,0.781,0.921
Exp5,medium,9,0.852,0.889,0.848,1.000
Exp5,hard,2,0.834,0.750,0.734,1.000
Exp6,easy,19,0.737,1.000,0.798,0.921
Exp6,medium,9,0.889,0.833,0.833,1.000
Exp6,hard,2,0.750,0.500,0.584,1.000
Exp7,easy,19,0.737,1.000,0.798,0.921
Exp7,medium,9,0.889,0.833,0.833,1.000
Exp7,hard,2,0.750,0.500,0.584,1.000
